material,Df,T_eval_K,mode,Tc_K,xi_nm,lambda_nm,kappa,Hc_Aperm,Hc1_Aperm,Hc2_Aperm,Jd_Aperm2,Jpin_Aperm2,Jc_Aperm2,Bext_T,vF,m_eff,ns,lambda_ep,mu_star,theta_b
MgB2,1.08,0.0,mcmillan,37.08691334166925,11.260904584838887,38.44874947986345,3.4143570962877092,427715.9165769564,153063.80368429472,2065281.9543169674,4281749999033.957,1172700363228.5461,1172700363228.5461,1.0,302317.73857280245,1.3559318819172921e-30,7.108578948782372e+27,0.9083502919218385,0.1,752.891598986205
MgB2,1.1,0.0,mcmillan,37.26274600008598,11.228351637906005,38.34306976608404,3.414844048581534,430138.21159201063,153921.40561576624,2077274.5375991124,4317866979464.06,1177788822609.8777,1177788822609.8777,1.0,302872.9748330661,1.353446144958744e-30,7.134714135440196e+27,0.9103525889943432,0.1,753.5826615654046
MgB2,1.12,0.0,mcmillan,37.43583513476131,11.196592410433864,38.239576965968915,3.4152870412907297,432525.7439530758,154767.3048581391,2089075.663888818,4353584680517.209,1182711554520.2893,1182711554520.2893,1.0,303419.19862846966,1.3510096330520636e-30,7.160471896382212e+27,0.9123231017444223,0.1,754.2618891528198
MgB2,1.14,0.0,mcmillan,37.60627007946899,11.165593611871865,38.138187965093074,3.415688345001423,434879.6023662329,155601.86311334142,2100691.478009339,4388914259569.739,1187476457565.4358,1187476457565.4358,1.0,303956.7133272437,1.3486205180757842e-30,7.185864278187793e+27,0.9142628889894987,0.1,754.9296904272489
MgB2,1.16,0.0,mcmillan,37.77413577893443,11.135323908491381,38.03882419674006,3.416050086134726,437200.82337585016,156425.42482616962,2112127.828621734,4423866376809.223,1192090934530.774,1192090934530.774,1.0,304485.80698228924,1.346277070391802e-30,7.210902739728793e+27,0.9161729564526777,0.1,755.586453089117
MgB2,1.18,0.0,mcmillan,37.939513075056574,11.105753776647724,37.94141131966428,3.416374258129547,439490.39470397757,157238.31828830708,2123390.2871676036,4458451225422.005,1196561930777.3367,1196561930777.3367,1.0,305006.7533532125,1.3439776519482187e-30,7.235598190416354e+27,0.9180542602883167,0.1,756.2325452777561
MgB2,1.2,0.0,mcmillan,38.10247897000405,11.07685536933938,37.84587892371299,3.416662731597091,441749.2583238229,158040.85665434488,2134484.1653095093,4492678559474.975,1200895969121.6326,1200895969121.6326,1.0,305519.8128441073,1.3417207099729552e-30,7.259961025356537e+27,0.9199077103181027,0.1,756.8683168707098
MgB2,1.22,0.0,mcmillan,38.26310686840271,11.04860239465899,37.75216026047889,3.4169172635562193,443978.3132925018,158833.33887815688,2145414.531010556,4526557719702.622,1205099181569.3105,1205099181569.3105,1.0,306025.23336531053,1.3395047711986052e-30,7.284001157711659e+27,0.9217341730058036,0.1,757.49410067667
MgB2,1.24,0.0,mcmillan,38.42146680058789,11.020970004899185,37.66019199648311,3.417139505845847,446178.4183655117,159616.05057706923,2156186.2233794294,4560097657388.218,1209177338228.6272,1209177338228.6272,1.0,306523.2511264315,1.3373284365658762e-30,7.30772804853135e+27,0.923534474195706,0.1,758.1102135323458
MgB2,1.26,0.0,mcmillan,38.57762562867846,10.993934695223407,37.56991398667393,3.4173310127990053,448350.39441294,160389.26483045568,2166803.866393404,4593306956507.839,1213135873691.6633,1213135873691.6633,1.0,307014.0913671487,1.335190376358936e-30,7.331150734288572e+27,0.9253094016370013,0.1,758.7169573124116
